 x , y , z , u , v , p 
0.00666667 , 0.0533333 , 0 , 0.000100682 , -0.000921315 , 0.0390306
0.00666667 , 0.06 , 0 , 9.74216e-05 , -0.00109237 , 0.0390636
0.00666667 , 0.0666667 , 0 , 9.1468e-05 , -0.00125416 , 0.0391052
0.00666667 , 0.0733333 , 0 , 8.30911e-05 , -0.00140191 , 0.0391553
0.00666667 , 0.08 , 0 , 7.24622e-05 , -0.00153125 , 0.0392137
0.00666667 , 0.0866667 , 0 , 5.96808e-05 , -0.00163802 , 0.0392802
0.00666667 , 0.0933333 , 0 , 4.47967e-05 , -0.00171824 , 0.0393545
0.00666667 , 0.1 , 0 , 2.78285e-05 , -0.00176802 , 0.0394362
0.00666667 , 0.106667 , 0 , 8.77823e-06 , -0.00178352 , 0.0395249
0.00666667 , 0.113333 , 0 , -1.23563e-05 , -0.00176095 , 0.03962
0.00666667 , 0.12 , 0 , -3.55717e-05 , -0.00169656 , 0.0397208
0.00666667 , 0.126667 , 0 , -6.08509e-05 , -0.00158665 , 0.0398264
0.00666667 , 0.133333 , 0 , -8.81567e-05 , -0.00142762 , 0.039936
0.00666667 , 0.14 , 0 , -0.000117427 , -0.00121601 , 0.0400484
0.00666667 , 0.146667 , 0 , -0.000148572 , -0.000948496 , 0.0401623
0.00666667 , 0.153333 , 0 , -0.00018147 , -0.000622013 , 0.0402762
0.00666667 , 0.16 , 0 , -0.000215967 , -0.00023375 , 0.0403885
0.00666667 , 0.166667 , 0 , -0.000251877 , 0.000218776 , 0.0404975
0.00666667 , 0.173333 , 0 , -0.000288982 , 0.000737667 , 0.0406012
0.00666667 , 0.18 , 0 , -0.000327034 , 0.0013246 , 0.0406974
0.00666667 , 0.186667 , 0 , -0.000365758 , 0.00198078 , 0.0407839
0.00666667 , 0.193333 , 0 , -0.000404853 , 0.0027069 , 0.0408583
0.00666667 , 0.2 , 0 , -0.000443998 , 0.00350312 , 0.0409182
0.00666667 , 0.206667 , 0 , -0.000482857 , 0.004369 , 0.040961
0.00666667 , 0.213333 , 0 , -0.000521081 , 0.00530354 , 0.0409841
0.00666667 , 0.22 , 0 , -0.000558318 , 0.00630513 , 0.040985
0.00666667 , 0.226667 , 0 , -0.000594214 , 0.00737156 , 0.040961
0.00666667 , 0.233333 , 0 , -0.00062842 , 0.00850004 , 0.0409096
0.00666667 , 0.24 , 0 , -0.000660599 , 0.00968721 , 0.0408283
0.00666667 , 0.246667 , 0 , -0.000690429 , 0.0109291 , 0.0407149
0.00666667 , 0.253333 , 0 , -0.00071761 , 0.0122214 , 0.0405672
0.00666667 , 0.26 , 0 , -0.000741867 , 0.0135591 , 0.0403832
0.00666667 , 0.266667 , 0 , -0.000762954 , 0.0149369 , 0.0401611
0.00666667 , 0.273333 , 0 , -0.000780656 , 0.0163491 , 0.0398995
0.00666667 , 0.28 , 0 , -0.000794796 , 0.0177897 , 0.0395972
0.00666667 , 0.286667 , 0 , -0.000805231 , 0.0192524 , 0.0392533
0.00666667 , 0.293333 , 0 , -0.000811857 , 0.0207307 , 0.038867
0.00666667 , 0.3 , 0 , -0.000814608 , 0.0222181 , 0.0384383
0.00666667 , 0.306667 , 0 , -0.000813455 , 0.0237077 , 0.037967
0.00666667 , 0.313333 , 0 , -0.000808408 , 0.025193 , 0.0374536
0.00666667 , 0.32 , 0 , -0.000799511 , 0.0266672 , 0.0368988
0.00666667 , 0.326667 , 0 , -0.000786841 , 0.0281238 , 0.0363037
